CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Kuwait,KWT,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Laos,LAO,,,2020-06-01,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0
Lebanon,LBN,,,2020-06-01,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0
Liberia,LBR,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Libya,LBY,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Sri Lanka,LKA,,,2020-06-01,3.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0
Lesotho,LSO,,,2020-06-01,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
Lithuania,LTU,,,2020-06-01,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Luxembourg,LUX,,,2020-06-01,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Latvia,LVA,,,2020-06-01,2.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Macao,MAC,,,2020-06-01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Morocco,MAR,,,2020-06-01,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Moldova,MDA,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0
Madagascar,MDG,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
Mexico,MEX,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
Mali,MLI,,,2020-06-01,3.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Myanmar,MMR,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Mongolia,MNG,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
